ID,Year,Month,Day,Date_,Hour,Minute,Second,Time_,Date,Spacecraft_,Spacecraft,Type_ipshock,Origem,Chave,Repete?,Accept
48000000,2008,5,19,5/19/2008,9,18,42,9:18:42 AM,2008-05-19 09:18:42,STEREO-A,STA,FF,SSC,200851991842STEREO-A,,0
1742,2008,5,19,5/19/2008,16,39,13,4:39:13 PM,2008-05-19 16:39:13,STEREO-B,STB,FF,IPShock,2008519163913STEREO-B,,0
1743,2008,5,19,5/19/2008,19,59,10,7:59:10 PM,2008-05-19 19:59:10,STEREO-B,STB,FR,IPShock,2008519195910STEREO-B,,0
49000000,2008,5,21,5/21/2008,0,41,35,12:41:35 AM,2008-05-21 00:41:35,STEREO-A,STA,FF,SSC,200852104135STEREO-A,,0
1745,2008,5,28,5/28/2008,1,56,16,1:56:16 AM,2008-05-28 01:56:16,STEREO-B,STB,FR,IPShock,200852815616STEREO-B,,0
1746,2008,6,6,6/6/2008,15,35,44,3:35:44 PM,2008-06-06 15:35:44,STEREO-B,STB,FF,IPShock,200866153544STEREO-B,,0
50000000,2008,6,6,6/6/2008,15,35,44,3:35:44 PM,2008-06-06 15:35:44,STEREO-B,STB,FF,SSC,200866153544STEREO-B,Repetido,1
1747,2008,6,12,6/12/2008,21,35,20,9:35:20 PM,2008-06-12 21:35:20,STEREO-B,STB,FF,IPShock,2008612213520STEREO-B,,0
51000000,2008,6,12,6/12/2008,21,35,20,9:35:20 PM,2008-06-12 21:35:20,STEREO-B,STB,FF,SSC,2008612213520STEREO-B,Repetido,1
1750,2008,7,5,7/5/2008,0,47,53,12:47:53 AM,2008-07-05 00:47:53,STEREO-A,STA,FF,IPShock,20087504753STEREO-A,,0
52000000,2008,7,5,7/5/2008,0,47,53,12:47:53 AM,2008-07-05 00:47:53,STEREO-A,STA,FF,SSC,20087504753STEREO-A,Repetido,1
1752,2008,7,19,7/19/2008,7,28,17,7:28:17 AM,2008-07-19 07:28:17,STEREO-B,STB,FF,IPShock,200871972817STEREO-B,,0
53000000,2008,7,19,7/19/2008,7,28,17,7:28:17 AM,2008-07-19 07:28:17,STEREO-B,STB,FF,SSC,200871972817STEREO-B,Repetido,1
1753,2008,7,20,7/20/2008,22,27,38,10:27:38 PM,2008-07-20 22:27:38,STEREO-B,STB,FF,IPShock,2008720222738STEREO-B,,0
54000000,2008,7,20,7/20/2008,22,27,38,10:27:38 PM,2008-07-20 22:27:38,STEREO-B,STB,FF,SSC,2008720222738STEREO-B,Repetido,1
1754,2008,7,21,7/21/2008,10,30,37,10:30:37 AM,2008-07-21 10:30:37,STEREO-B,STB,FR,IPShock,2008721103037STEREO-B,,0
55000000,2008,7,21,7/21/2008,10,30,37,10:30:37 AM,2008-07-21 10:30:37,STEREO-B,STB,FR,SSC,2008721103037STEREO-B,Repetido,1
1759,2008,8,6,8/6/2008,21,17,39,9:17:39 PM,2008-08-06 21:17:39,STEREO-B,STB,FF,IPShock,200886211739STEREO-B,,0
56000000,2008,8,6,8/6/2008,21,17,39,9:17:39 PM,2008-08-06 21:17:39,STEREO-B,STB,FF,SSC,200886211739STEREO-B,Repetido,1
57000000,2008,8,16,8/16/2008,1,16,1,1:16:01 AM,2008-08-16 01:16:01,STEREO-B,STB,FF,SSC,20088161161STEREO-B,,0
